7.1.1.1. Az építõipar összefoglaló adatai ;;;
Év;Az építõipar részesedése a bruttó hozzáadott értékbõl, %;Az építõipari termelés értéke, millió forint;Az építõipari termelés volumenindexe, elõzõ év = 100,0%
1990;..;165 069;86,2
1991;..;171 280;87,4
1992;..;206 619;101,5
1993;..;238 503;103,2
1994;..;307 037;112,4
1995;5;320 728;82,4
1996;4,6;410 588;102,7
1997;4,8;531 806;108,1
1998;4,8;678 575;115,3
1999;5;816 106;109
2000;5,1;978 939;107,9
2001;5,4;1 161 045;107,7
2002;5,8;1 424 543;117,5
2003;5,4;1 539 861;102,2
2004;5,3;1 720 262;106,8
2005;5,7;2 023 467;118,8
2006;5,3;2 222 382;99,3
2007;4,9;2 004 406;84,8
2008;4,9;2 006 918;94,6
2009;4,8;2 006 410;96,7
2010;4,1;1 786 611;88,1
2011;4;1 731 794;94,1
2012;3,8;1 587 765;91,7
2013;4;1 774 914;109,7
2014;4,2;2 056 152;113,4
2015;4,2;2 153 389;102,2
2016;3,6;1 813 855;82
2017;4,2;2 455 341;128,2
2018;5,1;3 306 919;122,9
2019;5,7;4 354 723;120
2020;5,7;4 339 342;90,9
2021;6,2;5 310 868;109,7
2022;6,3;6 670 651;100,7
